destination_ips,source_ips,time_variance,max_occuring_byte_size,byte_size_variance,protocols,number_of_packets,label
"17.248.216.68,17.248.216.66,52.19.236.182,17.242.13.4,192.168.0.137,3.5.148.209,239.255.255.250","17.248.216.68,17.248.216.66,192.168.0.109,52.19.236.182,17.242.13.4,192.168.0.137,3.5.148.209",1.0878547982775721,66,387663.83080898074,"17,6",184,0
"17.248.216.68,17.248.216.66,142.251.42.46,17.242.13.4,192.168.0.137,224.0.0.251,140.82.113.25,3.5.148.209,142.250.76.174","17.248.216.68,17.248.216.66,142.251.42.46,17.242.13.4,192.168.0.137,192.168.0.104,140.82.113.25,3.5.148.209,142.250.76.174",1.2134319621177254,66,356899.90772707295,"17,6",179,0
"17.248.216.68,142.251.42.78,17.248.216.66,52.219.132.234,192.168.0.1,17.242.13.4,192.168.0.137","17.248.216.68,142.251.42.78,17.248.216.66,52.219.132.234,192.168.0.1,17.242.13.4,192.168.0.137",1.2115275054255816,66,366962.3261425527,"17,6",206,0
"17.248.216.68,54.239.37.226,52.219.132.234,17.248.216.66,52.19.236.182,192.168.0.1,31.13.64.61,224.0.0.251,192.168.0.137,13.33.146.36,17.248.216.65,239.255.255.250,52.219.129.84","17.248.216.68,54.239.37.226,52.219.132.234,192.168.0.109,17.248.216.66,52.19.236.182,192.168.0.1,31.13.64.61,192.168.0.104,192.168.0.137,13.33.146.36,17.248.216.65,52.219.129.84",0.8891847887159009,54,485847.03604032745,"17,6",774,0
"17.248.216.68,17.242.13.4,192.168.0.137,52.219.132.234","17.248.216.68,17.242.13.4,192.168.0.137,52.219.132.234",0.33266133457318875,66,164281.61139455784,6,49,0
"17.248.216.68,142.250.199.150,17.248.216.66,192.168.0.1,17.242.13.4,224.0.0.251,192.168.0.137,52.219.129.148","17.248.216.68,142.250.199.150,17.248.216.66,192.168.0.1,17.242.13.4,192.168.0.104,192.168.0.137,52.219.129.148",0.3682448295950855,1486,490395.7329019662,"17,6",724,0
"17.248.216.68,3.5.148.190,17.248.216.66,17.242.13.4,192.168.0.137","17.248.216.68,3.5.148.190,17.248.216.66,17.242.13.4,192.168.0.137",0.3513542512451062,1414,437554.8202939297,6,626,0
"17.248.216.68,3.5.148.190,17.248.216.66,17.242.13.4,224.0.0.251,192.168.0.137","17.248.216.68,3.5.148.190,17.248.216.66,192.168.0.109,17.242.13.4,192.168.0.137",0.3871627688366162,1514,495287.9276776653,"17,6",569,0
"17.248.216.68,142.250.199.150,142.251.12.188,3.5.148.190,17.248.216.66,192.168.0.1,17.242.13.4,192.168.0.137","17.248.216.68,142.250.199.150,142.251.12.188,3.5.148.190,17.248.216.66,192.168.0.1,17.242.13.4,192.168.0.137",0.38410546837055526,1514,491036.4788968038,"17,6",558,0
"17.248.216.68,3.5.148.190,17.248.216.66,17.242.13.4,224.0.0.251,192.168.0.137","17.248.216.68,3.5.148.190,17.248.216.66,17.242.13.4,192.168.0.104,192.168.0.137",0.39120924131586793,1514,493080.1870877654,"17,6",558,0
"54.239.37.226,3.5.148.190,17.248.216.66,192.168.0.1,17.242.13.4,192.168.0.137,140.82.113.25,142.251.42.46,142.250.76.174,239.255.255.250","54.239.37.226,3.5.148.190,17.248.216.66,192.168.0.194,192.168.0.1,17.242.13.4,192.168.0.137,142.251.42.46,142.250.76.174",0.8117553604577136,1514,484692.3230503544,"17,6",707,0
"142.251.42.78,3.5.148.190,17.248.216.66,224.0.0.1,192.168.0.1,17.242.13.4,192.168.0.137,239.255.255.250","142.251.42.78,3.5.148.190,17.248.216.66,192.168.0.194,192.168.0.1,17.242.13.4,192.168.0.137",0.43398963069251634,1514,499408.88385657966,"17,2,6",590,0
"224.0.0.2,17.248.216.66,52.19.236.182,17.242.13.4,224.0.0.251,192.168.0.137,13.33.146.36,52.219.133.6","17.248.216.66,52.19.236.182,192.168.0.1,192.168.0.104,17.242.13.4,192.168.0.137,13.33.146.36,52.219.133.6",0.3440174976793797,1486,489843.36836389126,"2,6",637,0
"140.82.113.25,17.248.216.66,192.168.0.1,17.242.13.4,224.0.0.251,192.168.0.137,224.0.0.252,52.219.133.6,23.221.53.130,239.255.255.250","17.248.216.66,192.168.0.1,17.242.13.4,192.168.0.104,192.168.0.137,140.82.113.25,52.219.133.6,23.221.53.130",0.5241505865823237,1486,489170.4891900273,"17,2,6",696,0
"142.251.42.78,17.248.216.66,192.168.0.1,17.242.13.4,224.0.0.251,192.168.0.137,23.221.53.130,52.219.129.136","142.251.42.78,17.248.216.66,192.168.0.109,192.168.0.1,17.242.13.4,192.168.0.137,23.221.53.130,52.219.129.136",0.5305494126422249,1486,487511.50855540606,"17,6",728,0
